# /home/jchai/.local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table_l6.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'l3_relative.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'SampleLable.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
ABC_transporters	0.022385887833333337	0.018698236333333333	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	ABC_transporters
Arachidonic_acid_metabolism	0.0007552661666666667	0.00018469133333333333	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Arachidonic_acid_metabolism
Bacterial_chemotaxis	0.004380486833333333	0.0028676431666666666	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Bacterial_chemotaxis
Bacterial_motility_proteins	0.008716613333333333	0.006173415166666667	2.562050460881394	0.010405619868873589	1.9827320435049467	0.0	0.0	1.0	1.0	Bacterial_motility_proteins
Biosynthesis_of_siderophore_group_nonribosomal_peptides	0.0003297285	0.00010691366666666667	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Biosynthesis_of_siderophore_group_nonribosomal_peptides
Biosynthesis_of_unsaturated_fatty_acids	0.0015397953333333332	0.0009347545	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Biosynthesis_of_unsaturated_fatty_acids
Bisphenol_degradation	0.0006498666666666667	0.0005363863333333333	2.562050460881394	0.010405619868873589	1.9827320435049467	0.0	0.0	1.0	1.0	Bisphenol_degradation
Carbohydrate_digestion_and_absorption	0.00035765566666666666	8.818133333333334e-05	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Carbohydrate_digestion_and_absorption
Carbohydrate_metabolism	0.0020090071666666667	0.0008649458333333334	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Carbohydrate_metabolism
Cysteine_and_methionine_metabolism	0.010620224666666666	0.0094278765	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Cysteine_and_methionine_metabolism
DNA_repair_and_recombination_proteins	0.032022188	0.03073427033333333	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	DNA_repair_and_recombination_proteins
Ethylbenzene_degradation	0.0007536901666666666	0.0005067919999999999	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Ethylbenzene_degradation
Flavone_and_flavonol_biosynthesis	3.2351666666666664e-05	4.8349999999999994e-06	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Flavone_and_flavonol_biosynthesis
Glutathione_metabolism	0.0021178023333333334	0.001728627666666667	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Glutathione_metabolism
Glycosyltransferases	0.004461534	0.0033862003333333334	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Glycosyltransferases
Glyoxylate_and_dicarboxylate_metabolism	0.005284875833333333	0.004714408833333333	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Glyoxylate_and_dicarboxylate_metabolism
Insulin_signaling_pathway	0.0009052739999999999	0.0006640296666666666	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Insulin_signaling_pathway
