# /home/jchai/.local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table_l6.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'l3_relative.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'SampleLable.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
Taxa	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
OTU100_Prevotellaceae_unclassified	0.005676172572654154	6.900008894111463e-06	2.3218582301737634	0.020240570577077482	1.693777248997084	0.0	0.0	0.0	0.0	OTU100_Prevotellaceae_unclassified
OTU101_Succiniclasticum	0.0038462600473611764	0.0015744134116552856	-1.2009611535381535	0.22976627046113807	-0.6387137251157547	0.0	0.0	0.0	0.0	OTU101_Succiniclasticum
OTU102_Prevotella	0.002106121890606522	6.900006651606412e-06	0.08006407690254357	0.9361862934730594	0.028637721585624446	0.0	0.0	0.0	0.0	OTU102_Prevotella
OTU103_Prevotellaceae_unclassified	0.0007595800384233873	0.00479228829359452	-0.9607689228305227	0.3366683676100388	-0.47279768675349176	0.0	0.0	0.0	0.0	OTU103_Prevotellaceae_unclassified
OTU104_Prevotella	0.005241138754583364	0.00017954451179545713	2.0816659994661326	0.037372988340651475	1.427442174615794	0.0	0.0	0.0	0.0	OTU104_Prevotella
OTU105_Prevotella	0.00022097039425229164	0.005172091820627204	-0.6405126152203485	0.5218393903336154	-0.28246314187270144	0.0	0.0	0.0	0.0	OTU105_Prevotella
OTU106_Bacteroidetes_unclassified	0.0	0.00545520460573484	-1.4411533842457842	0.14954135458461512	-0.8252386897187685	0.0	0.0	0.0	0.0	OTU106_Bacteroidetes_unclassified
OTU107_Prevotellaceae_unclassified	0.0036391034146524893	0.0004419351638931103	1.2009611535381535	0.22976627046113807	0.6387137251157547	0.0	0.0	0.0	0.0	OTU107_Prevotellaceae_unclassified
OTU108_Saccharofermentans	0.0053101939788037745	6.900008894111463e-06	0.08006407690254357	0.9361862934730594	0.028637721585624446	0.0	0.0	0.0	0.0	OTU108_Saccharofermentans
OTU109_Bacteroidetes_unclassified	0.003970554076579703	4.833721191029701e-05	0.8807048459279793	0.3784775932446789	0.42195982664803106	0.0	0.0	0.0	0.0	OTU109_Bacteroidetes_unclassified
OTU10_Roseburia	0.008956200076922223	2.761669473126217e-05	2.401922307076307	0.016309171877754974	1.7875680903424376	0.0	0.0	0.0	0.0	OTU10_Roseburia
OTU110_Prevotellaceae_unclassified	0.004357251502794605	2.0716019390194148e-05	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	0.0	1.0	OTU110_Prevotellaceae_unclassified
OTU111_Methanomassiliicoccus	1.3816685692242863e-05	0.004985642911709459	-2.8823067684915684	0.003947751856903457	-2.403650153511122	0.0	0.0	0.0	1.0	OTU111_Methanomassiliicoccus
OTU112_Anaerovibrio	0.0023961456208924643	0.00026929690402282343	1.9215378456610455	0.054663935891675154	1.2622991016134106	0.0	0.0	0.0	0.0	OTU112_Anaerovibrio
OTU113_Treponema	0.0020301638580692816	0.0028587968905799885	0.0	1.0	-0.0	0.0	0.0	0.0	0.0	OTU113_Treponema
OTU114_Megasphaera	0.0020370695510456556	0.0	2.401922307076307	0.016309171877754974	1.7875680903424376	0.0	0.0	0.0	0.0	OTU114_Megasphaera
OTU115_Fibrobacter	0.0025687785246185386	0.0	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	0.0	1.0	OTU115_Fibrobacter
OTU116_Dialister	8.976924781806669e-05	9.667463927362225e-05	-0.32025630761017426	0.7487740417065472	-0.12564922001116113	0.0	0.0	0.0	0.0	OTU116_Dialister
OTU117_Bacteria_unclassified	0.0028311810755598365	0.00045575116205441644	0.40032038451271784	0.6889205558044607	0.16183085670631875	0.0	0.0	0.0	0.0	OTU117_Bacteria_unclassified
OTU118_Succiniclasticum	0.0029969089007864584	0.00037289966395132415	1.12089707663561	0.2623316754083572	0.5811492670744878	0.0	0.0	0.0	0.0	OTU118_Succiniclasticum
OTU119_Prevotella	2.762136178333597e-05	0.004371068545690756	-2.8823067684915684	0.003947751856903457	-2.403650153511122	0.0	0.0	0.0	1.0	OTU119_Prevotella
