KO	Global_Test_RSQR	Global_Test_Pearson	Global_Test_Spearman
ABC_transporters	-25.860259124383717	-0.6067395533321663	-0.5874125874125874
Arachidonic_acid_metabolism	-1.4111826967048677	-0.2985597509877484	-0.23076923076923078
Bacterial_chemotaxis	-5.94972420419696	-0.5901199147405715	-0.5314685314685316
Bacterial_motility_proteins	-7.090667849511586	-0.523604956431173	-0.5034965034965035
Biosynthesis_of_siderophore_group_nonribosomal_peptides	-1.4803585927010388	0.01803361399363981	0.18181818181818185
Biosynthesis_of_unsaturated_fatty_acids	-1.9957975236051215	-0.24152917036840008	-0.1328671328671329
Bisphenol_degradation	-14.292476503073212	0.11219585273043835	-0.034965034965034975
Carbohydrate_digestion_and_absorption	-0.6490125774002928	0.37688877467442167	0.06993006993006995
Carbohydrate_metabolism	-0.9117385580033839	0.46055021980471766	-0.0979020979020979
Cysteine_and_methionine_metabolism	-83.74956611873252	-0.6666774589730263	-0.7552447552447553
DNA_repair_and_recombination_proteins	-598.4866418933342	-0.8038382383871043	-0.7972027972027973
Ethylbenzene_degradation	-5.171232852129649	0.22559848366852836	-0.06993006993006995
Flavone_and_flavonol_biosynthesis	-0.26909740694294704	0.20535593005075603	0.3216783216783217
Glutathione_metabolism	-24.47647805935506	0.22355953338519835	0.08391608391608392
Glycosyltransferases	-14.854112574667008	-0.29922572165655315	-0.14685314685314685
Glyoxylate_and_dicarboxylate_metabolism	-54.39683589177327	-0.24485065293069025	-0.20979020979020982
Insulin_signaling_pathway	-11.989442731054794	-0.6240371514554753	-0.5384615384615385
Lipid_metabolism	-7.007263669848216	-0.8249292298118039	-0.8741258741258742
Meiosis___yeast	-0.34694269115303067	0.07169280361965771	-0.06993006993006995
Nitrogen_metabolism	-194.13901245118615	-0.7008128169180338	-0.7482517482517484
Other_ion_coupled_transporters	-77.73509903012969	-0.4641624727427496	-0.5104895104895105
Others	-38.17612280012151	-0.2672638095067766	-0.2797202797202798
Pathways_in_cancer	-13.86723220084578	-0.275982832578102	-0.15384615384615385
Pentose_and_glucuronate_interconversions	-8.32121091808023	0.22913596050114374	-0.027972027972027972
Peptidoglycan_biosynthesis	-62.19710709680843	-0.4844561112711453	-0.46153846153846156
Plant_pathogen_interaction	-43.382755265446065	-0.5262414330862134	-0.3916083916083916
Porphyrin_and_chlorophyll_metabolism	-15.05178466264039	-0.30495627520764285	-0.1398601398601399
Renal_cell_carcinoma	-0.5449540672855038	0.32542127127774884	0.2657342657342658
Retinol_metabolism	-1.9470204301267566	-0.6875958437961194	-0.7762237762237763
Selenocompound_metabolism	-28.698377354600165	-0.8111525101837496	-0.7972027972027973
Signal_transduction_mechanisms	-17.229915277914056	-0.34433442045507906	-0.3846153846153847
Sulfur_metabolism	-9.05216493022875	-0.433075396059452	-0.5874125874125874
Transcription_factors	-21.10783363674509	-0.9028785606350268	-0.8601398601398602
Transcription_machinery	-68.82006212837629	-0.46604559376117066	-0.37762237762237766
Transporters	-20.786386416712237	-0.490601599866316	-0.4895104895104896
Vibrio_cholerae_pathogenic_cycle	-4.103743768220203	0.030914266463596084	0.013986013986013986
Zeatin_biosynthesis	-12.328688027484452	-0.16999990790176586	-0.2937062937062937
