# /home/jchai/.local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table_l6.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'l3_relative.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'SampleLable.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
Function	meanCases	meanControls	StatValue	pval	singLogP	Bonf	FDR-0.01	FDR-0.05	FDR-0.1	Metadata
Antigen_processing_and_presentation	0.0005244275	0.0004616881666666666	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Antigen_processing_and_presentation
Arachidonic_acid_metabolism	0.0007243188333333333	0.00018469133333333333	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Arachidonic_acid_metabolism
Biosynthesis_of_siderophore_group_nonribosomal_peptides	0.00031861650000000004	0.00010691366666666667	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Biosynthesis_of_siderophore_group_nonribosomal_peptides
Biosynthesis_of_unsaturated_fatty_acids	0.001161507833333333	0.0009347545	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Biosynthesis_of_unsaturated_fatty_acids
Carbohydrate_digestion_and_absorption	0.0004629511666666667	8.818133333333334e-05	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Carbohydrate_digestion_and_absorption
Carbohydrate_metabolism	0.0016764204999999996	0.0008649458333333334	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Carbohydrate_metabolism
Chromosome	0.017616707666666665	0.016604032666666668	2.562050460881394	0.010405619868873589	1.9827320435049467	0.0	0.0	1.0	1.0	Chromosome
Cysteine_and_methionine_metabolism	0.010424411833333333	0.0094278765	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Cysteine_and_methionine_metabolism
Cytoskeleton_proteins	0.0035884095000000005	0.0029882044999999997	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Cytoskeleton_proteins
D_Arginine_and_D_ornithine_metabolism	2.95795e-05	3.215e-06	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	D_Arginine_and_D_ornithine_metabolism
Flavonoid_biosynthesis	2.8806666666666666e-05	5.058333333333333e-06	2.562050460881394	0.010405619868873589	1.9827320435049467	0.0	0.0	1.0	1.0	Flavonoid_biosynthesis
Fructose_and_mannose_metabolism	0.0091843975	0.007574625333333334	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Fructose_and_mannose_metabolism
Glycosyltransferases	0.004172628666666667	0.0033862003333333334	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Glycosyltransferases
Insulin_signaling_pathway	0.0009244368333333335	0.0006640296666666666	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Insulin_signaling_pathway
Lipid_metabolism	0.0014109880000000002	0.0008980145	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Lipid_metabolism
Other_ion_coupled_transporters	0.011534269666666666	0.010756228000000001	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Other_ion_coupled_transporters
Pathways_in_cancer	0.0006298216666666667	0.0004988346666666666	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Pathways_in_cancer
Peptidoglycan_biosynthesis	0.009674663666666668	0.008606960166666667	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Peptidoglycan_biosynthesis
Plant_pathogen_interaction	0.0016837543333333334	0.0013229703333333335	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Plant_pathogen_interaction
Progesterone_mediated_oocyte_maturation	0.0005244275	0.0004616881666666666	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Progesterone_mediated_oocyte_maturation
Prostate_cancer	0.0005245699999999999	0.000464454	2.7221786146864813	0.006485307970671367	2.1880693955571733	0.0	0.0	1.0	1.0	Prostate_cancer
Retinol_metabolism	0.0003168346666666667	0.00012801216666666665	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Retinol_metabolism
Selenocompound_metabolism	0.0040191105	0.0033992705000000004	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Selenocompound_metabolism
Signal_transduction_mechanisms	0.003846077166666667	0.0031562558333333335	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Signal_transduction_mechanisms
Starch_and_sucrose_metabolism	0.011664537333333334	0.008737822999999999	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Starch_and_sucrose_metabolism
Styrene_degradation	0.00013376833333333333	4.2433333333333326e-05	2.562050460881394	0.010405619868873589	1.9827320435049467	0.0	0.0	1.0	1.0	Styrene_degradation
Sulfur_metabolism	0.002777918166666667	0.002263964833333333	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Sulfur_metabolism
Transcription_factors	0.011995817166666667	0.0085070445	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Transcription_factors
Transporters	0.048213656333333334	0.036314562499999994	2.562050460881394	0.010405619868873589	1.9827320435049467	0.0	0.0	1.0	1.0	Transporters
Vibrio_cholerae_pathogenic_cycle	0.0009308693333333335	0.0006161340000000001	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Vibrio_cholerae_pathogenic_cycle
Zeatin_biosynthesis	0.0008078613333333335	0.0005999878333333333	2.8823067684915684	0.003947751856903457	2.403650153511122	0.0	0.0	1.0	1.0	Zeatin_biosynthesis
