KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
Antigen_processing_and_presentation	-10.344947368610551	0.33411790115815043	0.28848765917933794	0.4685314685314686	0.124454791188834	0.00010128868341152675	0.00010813365255522859
Arachidonic_acid_metabolism	0.9154500652841184	0.9648739505503752	3.970092128451217e-07	0.7412587412587414	0.005801150474478243	7.014127946234281e-05	5.980392995587141e-05
Biosynthesis_of_siderophore_group_nonribosomal_peptides	0.8243081585564697	0.9272284928382355	1.4211556341011601e-05	0.7062937062937064	0.010245193941127854	3.375897627734418e-05	4.1798140986568e-05
Biosynthesis_of_unsaturated_fatty_acids	-6.50322114684457	0.13071523850580438	0.6855347332214544	0.06993006993006995	0.8290236405313092	0.0002995301802599805	0.00023835506297777893
Carbohydrate_digestion_and_absorption	0.7704562752035109	0.9037689824395941	5.519087819396043e-05	0.7552447552447553	0.004508435484294225	5.79942117195039e-05	7.525201279418145e-05
Carbohydrate_metabolism	-0.13982987393247703	0.6193724694467078	0.031730526393325235	0.3426573426573427	0.27556745095678037	0.0003969708974202319	0.0003278601159048812
Chromosome	-67.0196352592684	0.11178437765675511	0.7294377401542815	0.17482517482517487	0.5868236643627043	0.0043059337613827	0.0037899027724704972
Cysteine_and_methionine_metabolism	-29.44507047324629	0.23189645917357185	0.46830577818742053	0.2867132867132868	0.36625146058358227	0.002081843088511149	0.002169301103281139
Cytoskeleton_proteins	-4.702469122233102	0.4695450559010178	0.12353148182448533	0.37762237762237766	0.22620604493502663	0.0006614349638597203	0.0007034495839838035
D_Arginine_and_D_ornithine_metabolism	0.9536744616128685	0.9782787314234721	3.6718822805237e-08	0.6573426573426573	0.020185498509854096	4.556873707678348e-06	3.6225386512938516e-06
Flavonoid_biosynthesis	0.9124584056954012	0.9637459073445381	4.64099933636189e-07	0.7272727272727274	0.007355028857805126	3.5950686019174638e-06	3.243888891429045e-06
Fructose_and_mannose_metabolism	-5.249017153625156	0.4193728161839155	0.17475458187185997	0.3356643356643357	0.2861229029149875	0.0016894093913332553	0.0019406458377245169
Glycosyltransferases	-7.567040262300647	0.09084893005058609	0.7788686175713908	0.14685314685314685	0.6487957097846664	0.0010415603632816875	0.0008927580582822674
Insulin_signaling_pathway	-2.4413319453725952	0.3682150934057726	0.23892463644944803	0.37762237762237766	0.22620604493502663	0.00016557022395203904	0.00020237559027479088
Lipid_metabolism	-1.1068926866435138	0.5572646145415509	0.059790953483266206	0.44055944055944063	0.15173503571673022	0.0002894340339350871	0.00027574357553596
Other_ion_coupled_transporters	-42.93209125153069	0.12722550582635012	0.6935654262144282	0.0	1.0	0.002375927680685272	0.0024588183530871244
Pathways_in_cancer	-3.0488179242257702	0.4024979238359588	0.19457134543643861	0.3916083916083916	0.2080634636953532	0.00011368843289368069	0.0001325263048351787
Peptidoglycan_biosynthesis	-18.319058376983865	0.22537365154698938	0.4812555467946098	0.3216783216783217	0.30790987618065263	0.0018566767168262815	0.0020647995196210567
Plant_pathogen_interaction	-5.234597391455865	0.12323496768886942	0.7027841448348218	0.09090909090909093	0.7787253962454419	0.0004429916244611453	0.00032398340100870955
Progesterone_mediated_oocyte_maturation	-13.166913212632828	0.256271925708386	0.42139316521376896	0.3426573426573427	0.27556745095678037	0.00012641064824811383	0.00010692562423722217
Prostate_cancer	-11.270526028835393	0.3324987996129529	0.2909753535485997	0.4685314685314686	0.124454791188834	0.00010035229752399531	0.00010874251425944161
Retinol_metabolism	0.47299801278894893	0.794997011291641	0.0019980180446219726	0.7622377622377624	0.003950448972542651	6.63017258241473e-05	4.5593450341991145e-05
Selenocompound_metabolism	-7.937492598177915	0.44121453920952336	0.15105594874980857	0.4265734265734266	0.16669998762494495	0.0007743631168024946	0.0007961511314715532
Signal_transduction_mechanisms	-6.201972681834479	0.0984693508727466	0.7607787397811248	0.0979020979020979	0.762121655996299	0.000892984712155563	0.0007678721329466425
Starch_and_sucrose_metabolism	-1.9380297309970405	0.5772025662837887	0.04940403240690507	0.3916083916083916	0.2080634636953532	0.002456452905319189	0.0021449134530967867
Styrene_degradation	0.7096152171670698	0.8530009677816256	0.00042009072255523523	0.4755244755244756	0.11817595701303213	3.95479601580567e-05	3.049503197253655e-05
Sulfur_metabolism	-5.326425469029197	0.2441301791355795	0.4444641881228447	0.2517482517482518	0.42991878503288405	0.0006102779843480149	0.0005273130116268897
Transcription_factors	-2.0296742469114784	0.35624740877435196	0.2557035863315257	0.1958041958041958	0.5419358857313175	0.0032016790727164633	0.0020346864813263455
Transporters	-2.598553624615217	0.4334143835267656	0.15926850980432472	0.20979020979020982	0.5128409431818263	0.010612949752726813	0.0101382088620832
Vibrio_cholerae_pathogenic_cycle	-1.7013355279881965	0.4081891704510533	0.1877400423163325	0.3426573426573427	0.27556745095678037	0.00021218540621259973	0.00019026127396742364
Zeatin_biosynthesis	-2.30426864398553	0.40280199899640934	0.19420254253247876	0.34965034965034975	0.2652387868927897	0.00015360607133538135	0.00016350542395819737
