# RUN PARAMETERS: 
# --------------- 
# /home/jchai/.local/bin/run_fishtaco.py {'single_function_filter': None, 'permutation_mode': 'blocks', 'case_label': '1', 'multiple_hypothesis_correction': 'FDR-0.05', 'da_result_file': None, 'write_log': True, 'taxa_to_function_file': None, 'output_pref': 'fishtaco_out', 'map_function_level': 'none', 'max_da_functions_cases_controls': None, 'taxa_abun_file': 'otu_table_l6.txt', 'normalization_mode': 'scale_permuted', 'apply_inference': True, 'residual_mode': 'remove_residual', 'taxa_assessment_method': 'single_taxa', 'functional_profile_already_corrected_with_musicc': True, 'function_abun_file': 'l3_relative.txt', 'na_rep': 'NA', 'number_of_shapley_orderings_per_taxa': '5', 'perform_inference_on_ko_level': False, 'class_file': 'SampleLable.txt', 'map_function_file': None, 'score_to_compute': 'wilcoxon', 'control_label': '0', 'number_of_permutations': '100', 'max_score_cutoff': '100', 'multi_function_filter_list': None}
#
# LEGEND: 
# ------- 
# a:case-associated and driving case-enrichment; 
# b:case-associated and attenuating case-enrichment; 
# c:control-associated and driving case-enrichment; 
# d:control-associated and attenuating case-enrichment; 
#
# TAXON-LEVEL CONTRIBUTION VALUES: 
# -------------------------------- 
#
Taxa	Antigen_processing_and_presentation	Arachidonic_acid_metabolism	Biosynthesis_of_siderophore_group_nonribosomal_peptides	Biosynthesis_of_unsaturated_fatty_acids	Carbohydrate_digestion_and_absorption	Carbohydrate_metabolism	Chromosome	Cysteine_and_methionine_metabolism	Cytoskeleton_proteins	D_Arginine_and_D_ornithine_metabolism	Flavonoid_biosynthesis	Fructose_and_mannose_metabolism	Glycosyltransferases	Insulin_signaling_pathway	Lipid_metabolism	Other_ion_coupled_transporters	Pathways_in_cancer	Peptidoglycan_biosynthesis	Plant_pathogen_interaction	Progesterone_mediated_oocyte_maturation	Prostate_cancer	Retinol_metabolism	Selenocompound_metabolism	Signal_transduction_mechanisms	Starch_and_sucrose_metabolism	Styrene_degradation	Sulfur_metabolism	Transcription_factors	Transporters	Vibrio_cholerae_pathogenic_cycle	Zeatin_biosynthesis
OTU100_Prevotellaceae_unclassified	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
OTU101_Succiniclasticum	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0240192230708	c:0.00480384461415	d:0.0	d:0.0	c:0.0112089707664	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0208166599947	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU102_Prevotella	b:-0.0208166599947	b:-0.0064051261522	b:0.0	b:-0.0176140969186	b:0.0	b:0.0	b:-0.00960768922831	b:-0.032025630761	b:0.0	b:0.0	b:0.0	b:-0.030424349223	b:-0.00800640769025	b:-0.0192153784566	b:0.0	b:-0.00960768922831	b:-0.0256205046088	b:-0.00160128153805	b:0.0	b:0.0	b:-0.0064051261522	b:-0.00160128153805	b:-0.00960768922831	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.0256205046088
OTU103_Prevotellaceae_unclassified	c:0.0112089707664	c:0.0224179415327	d:0.0	c:0.030424349223	d:0.0	c:0.00800640769025	c:0.00800640769025	c:0.0160128153805	d:0.0	d:0.0	d:0.0	c:0.00960768922831	c:0.0208166599947	c:0.0160128153805	d:0.0	c:0.0160128153805	c:0.00960768922831	c:0.0256205046088	d:0.0	d:0.0	c:0.0160128153805	c:0.0112089707664	c:0.032025630761	c:0.0112089707664	d:0.0	d:0.0	d:0.0	c:0.0144115338425	d:0.0	c:0.00960768922831	c:0.0208166599947
OTU104_Prevotella	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.00160128153805	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	c:0.0160128153805	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU105_Prevotella	c:0.00800640769025	d:0.0	d:0.0	c:0.0256205046088	d:0.0	c:0.00960768922831	c:0.0144115338425	c:0.032025630761	d:0.0	d:0.0	d:0.0	c:0.0160128153805	c:0.0240192230708	c:0.0160128153805	d:0.0	c:0.00800640769025	c:0.0144115338425	c:0.0144115338425	d:0.0	c:0.0064051261522	c:0.00480384461415	c:0.0112089707664	c:0.032025630761	c:0.0064051261522	c:0.00800640769025	d:0.0	d:0.0	c:0.0128102523044	c:0.0176140969186	c:0.00800640769025	c:0.00960768922831
OTU106_Bacteroidetes_unclassified	c:0.00960768922831	c:0.0224179415327	d:0.0	c:0.0208166599947	c:0.0064051261522	c:0.00960768922831	c:0.0160128153805	c:0.0112089707664	c:0.00960768922831	d:0.0	d:0.0	c:0.0208166599947	c:0.0128102523044	c:0.0224179415327	d:0.0	c:0.0352281938371	c:0.0192153784566	c:0.0112089707664	c:0.0064051261522	c:0.00800640769025	c:0.0240192230708	c:0.00960768922831	c:0.0528422907557	c:0.0144115338425	c:0.00480384461415	d:0.0	d:0.0	c:0.0160128153805	c:0.00960768922831	c:0.0224179415327	c:0.0112089707664
OTU107_Prevotellaceae_unclassified	d:-0.00480384461415	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:-0.00960768922831	d:0.0	d:0.0	d:0.0	d:-0.0112089707664	d:-0.0064051261522	d:-0.0064051261522	d:0.0	d:0.0	d:-0.0032025630761	d:0.0	d:0.0	d:0.0	d:-0.00480384461415	d:0.0	c:0.0032025630761	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU108_Saccharofermentans	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0	d:0.0
OTU109_Bacteroidetes_unclassified	b:-0.00480384461415	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:-0.00480384461415	b:-0.0112089707664	b:-0.0176140969186	b:0.0	b:0.0	b:-0.00960768922831	b:-0.0032025630761	b:0.0	b:0.0	b:-0.0112089707664	b:0.0	b:-0.0064051261522	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0	b:0.0
