class,Taxon,CP_ADFI,NDF_ADFI,NFC_ADFI,CP_ADFI_BW,NDF_ADFI_BW,NFC_ADFI_BW,pH,acetate,propionate,butyrate ,valerate,TVFA,AverageBW,Slaughter weight,chao1,observed_species,shannon
MCA,MCA3-1,58.54,65.28,217.53,7.49,8.35,27.82,6.08,45.62,16.71,16.99,2.86,82.58,7.82,10.7,292.4545455,212,4.631357064
MCA,MCA3-2,66.08,73.09,244.81,8.49,9.39,31.47,6.03,47.57,25.02,10.11,3.08,86.74,7.78,8.7,389.2173913,262,4.703929978
MCA,MCA3-3,70.51,66,243.8,10.26,9.6,35.46,5.97,53.9,24.41,16.22,2.82,97.89,6.88,10.2,292.2,239,5.41053464
MCA,MCA3-4,70.51,66,243.8,10.26,9.6,35.46,5.67,41.15,30.12,24.21,8.5,107.14,6.32,11.1,261,228,4.671785232
MCA,MCA3-5,68.12,61.55,231.34,10.48,9.47,35.59,6.34,43.21,27.66,21.04,6.44,101.32,6.5,10.1,255.12,200,4.801476255
MCA,MCA3-6,68.59,64.46,236.76,11.24,10.57,38.81,5.98,39,14.04,21.13,7.79,82.64,6.1,10.6,247.0416667,196,4.302372712
MRC,MRC2-1,56.91,53.67,208.97,7.62,7.19,27.97,5.97,38.13,18.52,14.87,8.8,80.56,7.47,10.7,197,131,3.16066256
MRC,MRC2-2,52.73,50.45,194.86,7.35,7.03,27.16,5.67,40.22,19.25,12.6,13.1,85.88,7.18,10.5,272.3333333,125,3.445199998
MRC,MRC2-3,65.14,53.96,226.24,9.54,7.91,33.15,5.96,42.97,19.78,8.11,6.34,78.65,6.83,10.7,228.2857143,199,4.27421844
MRC,MRC2-4,60.53,43.05,197.93,9.1,6.47,29.76,6.57,37.76,13.95,9.45,2.68,66.33,6.65,10.6,457,367,5.974619925
MRC,MRC2-5,57.29,45.09,194.88,8.95,7.05,30.45,5.92,37.67,16.41,8.4,5.71,70.87,6.4,9.1,274.5769231,211,4.772614997
MRC,MRC2-6,52.73,50.45,194.86,7.35,7.03,27.16,6.09,35.78,17.3,14.9,7.69,76.87,5.97,11.2,170.1428571,148,4.268532078
MRO,MRO1-1,31.52,0,64.2,4.94,0,10.07,6.97,15.51,4.32,2.75,0.36,24.28,6.38,7.14,423.0697674,342,5.431391118
MRO,MRO1-2,34.63,0,70.54,5.82,0,11.85,6.33,26.84,8.68,1.48,0.39,38,5.95,6.6,432.9375,355,3.803652271
MRO,MRO1-3,32.61,0,66.43,5.39,0,10.98,6.94,23.17,11.73,1.41,1.37,38.49,6.05,6.7,361.25,320,4.613220528
MRO,MRO1-4,30.22,0,61.54,5.47,0,11.15,7.18,24.11,10.37,1.03,1.35,37.48,5.52,7.4,447.4102564,347,4.877169636
MRO,MRO1-5,30.88,0,62.9,5.47,0,11.13,7.13,23.13,11.16,1.49,0.78,37.19,5.65,6.7,389.5348837,325,4.45174641
MRO,MRO1-6,28.1,0,57.23,5.48,0,11.17,7.24,22.7,11.34,1.57,0.76,36.96,5.13,7.5,521.7317073,401,5.329154946
